group,score
Group B,0.3516
Group B,0.7613
Group B,0.5837
Group B,0.2542
Group B,0.5382
Group B,0.405
Group B,0.5145
Group B,0.4395
Group B,0.6786
Group B,0.315
Group B,0.5413
Group B,0.7358
Group B,0.3925
Group B,0.5274
Group B,0.5263
Group B,0.4103
Group B,0.5842
Group B,0.5126
Group B,0.3773
Group B,0.7291
Group B,0.6029
Group B,0.4783
Group B,0.4172
Group B,0.398
Group B,0.66
Group B,0.481
Group B,0.5597
Group B,0.476
Group B,0.5801
Group B,0.4849
Group B,0.5993
Group B,0.4762
Group B,0.6078
Group B,0.5874
Group B,0.4848
Group B,0.3882
Group B,0.3778
Group B,0.4037
Group B,0.372
Group B,0.6126
Group B,0.4939
Group B,0.7041
Group B,0.7963
Group B,0.5031
Group B,0.2988
Group B,0.4504
Group B,0.4902
Group B,0.3065
Group B,0.4674
Group B,0.5373
Group B,0.4403
Group B,0.4001
Group B,0.4014
Group B,0.7323
Group B,0.4792
Group B,0.3921
Group B,0.4515
Group B,0.6241
Group B,0.411
Group B,0.5626
Group B,0.5946
Group B,0.5974
Group B,0.682
Group B,0.4284
Group B,0.6473
Group B,0.3969
Group B,0.4484
Group B,0.6555
Group B,0.6069
Group B,0.5003
Group B,0.3451
Group B,0.573
Group B,0.4181
Group B,0.3799
Group B,0.4157
Group B,0.532
Group B,0.2243
Group B,0.5469
Group B,0.5226
Group B,0.424
Group B,0.6348
Group B,0.5795
Group B,0.4212
Group B,0.4129
Group B,0.5904
Group B,0.3029
Group B,0.4568
Group B,0.418
Group B,0.5091
Group B,0.5274
Group B,0.5048
Group B,0.6475
Group B,0.5296
Group B,0.4591
Group B,0.3426
Group B,0.5938
Group B,0.5687
Group B,0.6886
Group B,0.4028
Group B,0.5034
Group B,0.4924
Group B,0.4886
Group B,0.5014
Group B,0.2771
Group B,0.6072
Group B,0.5849
Group B,0.647
Group B,0.7924
Group B,0.4585
Group B,0.4953
Group B,0.5013
Group B,0.7525
Group B,0.2749
Group B,0.5631
Group B,0.3088
Group B,0.1644
Group B,0.2373
Group B,0.3204
Group B,0.639
Group B,0.3871
Group B,0.4704
Group B,0.3487
Group B,0.5794
Group B,0.3567
Group B,0.6713
Group B,0.3709
Group B,0.4006
Group B,0.516
Group B,0.5032
Group B,0.6852
Group B,0.5157
Group B,0.343
Group B,0.4272
Group B,0.4255
Group B,0.5943
Group B,0.5499
Group B,0.4845
Group B,0.613
Group B,0.4313
Group B,0.4823
Group B,0.5235
Group B,0.6987
Group B,0.4872
Group B,0.4544
Group B,0.364
Group B,0.5892
Group B,0.4236
Group B,0.5447
Group B,0.2528
Group B,0.6356
Group B,0.3268
Group B,0.3989
Group B,0.6376
Group B,0.3265
Group B,0.4897
Group B,0.5097
Group B,0.3702
Group B,0.6746
Group B,0.6948
Group B,0.2437
Group B,0.3116
Group B,0.6051
Group B,0.3306
Group B,0.4495
Group B,0.5168
Group B,0.5899
Group B,0.471
Group B,0.5124
Group B,0.399
Group B,0.668
Group B,0.4356
Group B,0.5442
Group B,0.4335
Group B,0.5138
Group B,0.4781
Group B,0.4789
Group B,0.3682
Group B,0.6035
Group B,0.6838
Group B,0.5316
Group B,0.5952
Group B,0.6089
Group B,0.6206
Group B,0.5394
Group B,0.5276
Group B,0.6123
Group B,0.5089
Group B,0.3734
Group B,0.5031
Group B,0.2545
Group B,0.4992
Group B,0.5537
Group B,0.6607
Group B,0.5197
Group B,0.6207
Group B,0.4999
Group B,0.3669
Group B,0.3165
Group B,0.3739
Group B,0.3224
Group B,0.5824
Group B,0.473
Group B,0.5741
Group B,0.5095
Group B,0.6357
Group B,0.6378
Group B,0.4161
Group B,0.4643
Group B,0.4307
Group B,0.2892
Group B,0.5878
Group B,0.6545
Group B,0.4992
Group B,0.4359
Group B,0.6418
Group B,0.1952
Group B,0.5231
Group B,0.5186
Group B,0.4258
Group B,0.6809
Group B,0.6262
Group B,0.466
Group B,0.4887
Group B,0.4496
Group B,0.4334
Group B,0.3299
Group B,0.6794
Group B,0.6336
Group B,0.6038
Group B,0.3577
Group B,0.7705
Group B,0.7574
Group B,0.5244
Group B,0.3825
Group B,0.3874
Group B,0.5544
Group B,0.3813
Group B,0.4956
Group B,0.6415
Group B,0.3041
Group B,0.7607
Group B,0.7037
Group B,0.3392
Group B,0.3162
Group B,0.4632
Group B,0.366
Group B,0.4657
Group B,0.1644
Group B,0.4703
Group B,0.7344
Group B,0.3548
Group B,0.4645
Group B,0.3064
Group B,0.583
Group B,0.4707
Group B,0.7523
Group B,0.5269
Group B,0.4516
Group B,0.5715
Group B,0.4342
Group B,0.3259
Group B,0.5393
Group B,0.4773
Group B,0.5216
Group B,0.5488
Group B,0.4337
Group B,0.5548
Group B,0.7259
Group B,0.356
Group B,0.7259
Group B,0.4684
Group B,0.4003
Group B,0.8155
Group B,0.5202
